episode,score,average_score,best_score
1,887.881663602961,887.881663602961,887.881663602961
2,-225.82841455994492,331.02662452150804,887.881663602961
3,795.3672748549074,485.8068412993078,887.881663602961
4,777.5437966902964,558.741080147055,887.881663602961
5,819.5606027402914,610.9049846657023,887.881663602961
6,850.9117064086715,650.906104956197,887.881663602961
7,817.0725417225025,674.6441673513835,887.881663602961
8,833.6937342178119,694.5253632096872,887.881663602961
9,846.6632276654652,711.4295703714403,887.881663602961
10,828.0717515140079,723.093788485697,887.881663602961
11,847.2918604783217,734.3845223032084,887.881663602961
12,819.7134170813856,741.4952635347231,887.881663602961
13,850.2768792554225,749.863080128623,887.881663602961
14,849.4483496874577,756.9763136685398,887.881663602961
15,854.485906053791,763.4769531608898,887.881663602961
16,824.1593582766138,767.2696034806227,887.881663602961
17,845.8791198343475,771.8936926779006,887.881663602961
18,847.4836676337441,776.093135731003,887.881663602961
19,853.8350254243783,780.1848141359175,887.881663602961
20,792.6581949395255,780.8084831760979,887.881663602961
21,783.7847967477234,780.9502123937943,887.881663602961
22,819.9671539505088,782.7237097372813,887.881663602961
23,837.8536068395853,785.1206617852075,887.881663602961
24,841.2268959146188,787.4584215405997,887.881663602961
25,751.5184091694517,786.0208210457537,887.881663602961
26,825.4357869013636,787.5367812709694,887.881663602961
27,852.233965948187,789.9329732960515,887.881663602961
28,851.6852241099585,792.1384108251196,887.881663602961
29,850.120684765673,794.1377995816904,887.881663602961
30,741.2416370705903,792.3745941646538,887.881663602961
31,869.9307118782073,794.8764044134781,887.881663602961
32,916.6374290329782,798.6814364328376,887.881663602961
33,834.0144708359812,799.752134445054,887.881663602961
34,730.6971169754386,797.7211045194772,887.881663602961
35,663.0019639136943,793.8719862164548,887.881663602961
36,746.3955425459772,792.553196114497,887.881663602961
37,874.661644235118,794.7723433610004,887.881663602961
38,889.9571911290288,797.2772077759485,887.881663602961
39,893.6616255402596,799.7486031032385,887.881663602961
40,903.7664673127999,802.3490497084774,887.881663602961
41,894.8296424059665,804.6046739206114,887.881663602961
42,706.2418793146958,802.2627026204705,887.881663602961
43,757.9783665931186,801.2328343407645,887.881663602961
44,710.7245690013289,799.1758283103228,887.881663602961
45,902.1585305615544,801.4643328047946,887.881663602961
46,660.0135123601087,798.3893149690405,887.881663602961
47,853.8684870146716,799.569722884905,887.881663602961
48,841.4434354851015,800.4420918974092,887.881663602961
49,876.8638821605456,802.0017202701264,887.881663602961
50,793.6257027566784,801.8341999198574,887.881663602961
51,27.551432008108,786.6521848627642,887.881663602961
52,786.1884053908412,786.6432660267657,887.881663602961
53,601.1513379689231,783.1434183275611,887.881663602961
54,818.2597732805166,783.7937211970602,887.881663602961
55,811.9554067301183,784.3057518431159,887.881663602961
56,133.9077092107518,772.6915010818238,887.881663602961
57,691.2838814502493,771.2632972286383,887.881663602961
58,704.2999635185229,770.108756992257,887.881663602961
59,679.8123025847902,768.5783086124694,887.881663602961
60,668.2308840558533,766.9058515365258,887.881663602961
61,666.7978261385908,765.264736366068,887.881663602961
62,649.7573359843786,763.4017137792665,887.881663602961
63,810.3041539775818,764.1461969570175,887.881663602961
64,740.0022580076164,763.7689479109331,887.881663602961
65,806.9794647658573,764.4337250933165,887.881663602961
66,821.7751524749433,765.3025345990987,887.881663602961
67,821.9945906039239,766.1486846887229,887.881663602961
