episode,score,average_score,best_score
1,-99.527263291444,-99.527263291444,-99.527263291444
2,-111.11793684351568,-105.32260006747984,-99.527263291444
3,-116.05355360594392,-108.89958458030121,-99.527263291444
4,-93.27758235002644,-104.99408402273251,-99.527263291444
5,-120.83566414154538,-108.16240004649508,-99.527263291444
6,-93.45857169774423,-105.71176198836993,-99.527263291444
7,-92.59656912100408,-103.83816300731768,-99.527263291444
8,-96.01111557456913,-102.8597820782241,-99.527263291444
9,-93.05500984071506,-101.77036294072309,-99.527263291444
10,-119.26706349173311,-103.5200329958241,-99.527263291444
11,-112.91530005824318,-104.37414818331673,-99.527263291444
12,-123.37106927156387,-105.95722494067066,-99.527263291444
13,-123.55722630086169,-107.3110711991469,-99.527263291444
14,-123.34237948728973,-108.45616464829995,-99.527263291444
15,-123.26153707393445,-109.44318947667558,-99.527263291444
16,-123.23810027406489,-110.30537140151243,-99.527263291444
17,-121.29131695284757,-110.95160349276745,-99.527263291444
18,-118.63418122620878,-111.37841336684751,-99.527263291444
19,-112.37369223719028,-111.4307964652866,-99.527263291444
20,-112.2196585763848,-111.47023957084153,-99.527263291444
21,-115.21281817015323,-111.64845759938018,-99.527263291444
22,-111.90966165969273,-111.66033051121256,-99.527263291444
23,-114.79271733380358,-111.79652124262955,-99.527263291444
24,-112.26696490565811,-111.8161230619224,-99.527263291444
25,-117.92078936988301,-112.06030971424083,-99.527263291444
26,-112.32607056215592,-112.07053128531449,-99.527263291444
27,-112.27879857169526,-112.07824488851378,-99.527263291444
28,-115.34094186871685,-112.1947697806639,-99.527263291444
29,-114.93583207997058,-112.28928917029516,-99.527263291444
30,-112.50809252098017,-112.29658261531799,-99.527263291444
31,-115.10487386159103,-112.38717265552035,-99.527263291444
32,-117.3865272902778,-112.54340248785651,-99.527263291444
33,-109.94693624956844,-112.46472169275687,-99.527263291444
34,-118.77975405530694,-112.65045793871423,-99.527263291444
35,-115.2244913805655,-112.72400175133855,-99.527263291444
36,-114.88712152016659,-112.78408841158377,-99.527263291444
37,-116.92863716145729,-112.89610324266144,-99.527263291444
38,-133.335585430868,-113.4339843528774,-99.527263291444
39,-109.89925560098452,-113.34335028231605,-99.527263291444
40,-134.12315555342846,-113.86284541409387,-99.527263291444
41,-125.7991336852517,-114.15397439631722,-99.527263291444
42,-109.74627784438059,-114.04902924031873,-99.527263291444
43,-106.60738296172582,-113.87596769895612,-99.527263291444
44,-112.58213542967849,-113.84656242010891,-99.527263291444
45,-127.34485585022159,-114.14652449633363,-99.527263291444
46,-109.97431338171724,-114.05582425471154,-99.527263291444
47,-112.33558844607509,-114.01922349282566,-99.527263291444
48,-121.08207896373483,-114.16636631513624,-99.527263291444
49,-118.59975093192111,-114.25684355221348,-99.527263291444
50,-118.98584990925715,-114.35142367935435,-99.527263291444
51,-122.57076270984362,-114.5125871897561,-99.527263291444
52,-110.0528044614916,-114.42682213728948,-99.527263291444
53,-118.22077825360932,-114.49840621495589,-99.527263291444
54,-119.09525563525223,-114.5835330560725,-99.527263291444
55,-116.4607926456655,-114.61766504861055,-99.527263291444
56,-115.93091510419734,-114.64111594246033,-99.527263291444
57,-117.35217984038218,-114.68867846698528,-99.527263291444
58,-116.28844068438374,-114.7162605741818,-99.527263291444
59,-115.54849224825328,-114.73036619577623,-99.527263291444
60,-119.02942398347334,-114.80201715890452,-99.527263291444
61,-120.31515756918117,-114.89239650989265,-99.527263291444
62,-120.35944165575009,-114.98057465740648,-99.527263291444
63,-118.15441662115916,-115.03095310127556,-99.527263291444
64,-117.20550437560802,-115.06493046493702,-99.527263291444
65,-114.97768090650564,-115.06358816403808,-99.527263291444
66,-116.71444245421142,-115.08860110782858,-99.527263291444
67,-117.92387893299946,-115.13091868730875,-99.527263291444
68,-118.35346935836164,-115.17830913835364,-99.527263291444
69,-151.17503423489322,-115.70000080641942,-99.527263291444
70,-115.32171291809654,-115.69459669372911,-99.527263291444
71,-117.95177255865248,-115.72638790309422,-99.527263291444
72,-119.19657954741021,-115.77458500926524,-99.527263291444
73,-110.36442792999186,-115.70047326845327,-99.527263291444
74,-110.63334510887478,-115.6319985635941,-99.527263291444
75,-119.36719392792943,-115.68180116845191,-99.527263291444
76,-119.7896042400636,-115.73585120886786,-99.527263291444
77,-111.83258563372617,-115.68515944815174,-99.527263291444
78,-121.46685005599261,-115.75928368671381,-99.527263291444
79,-121.27824404936221,-115.82914394446885,-99.527263291444
80,-121.48079025471273,-115.89978952334691,-99.527263291444
81,-120.81947343941903,-115.96052636181693,-99.527263291444
82,-116.78469648806626,-115.97057721701509,-99.527263291444
83,-122.15401834989774,-116.04507650777272,-99.527263291444
84,-121.00148012665349,-116.10408131275939,-99.527263291444
85,-128.34432695885562,-116.24808420271346,-99.527263291444
86,-115.28469480721776,-116.23688200044026,-99.527263291444
87,-118.85898568834985,-116.2670211232898,-99.527263291444
88,-109.22609282927775,-116.18701057449421,-99.527263291444
89,-109.14934667584548,-116.10793569922849,-99.527263291444
90,-110.37528764917764,-116.04423960978349,-99.527263291444
91,-116.10622317196987,-116.0449207478295,-99.527263291444
92,-119.54887327481993,-116.08300718834026,-99.527263291444
93,-113.6952766871173,-116.05733266682174,-99.527263291444
