episode,score,average_score,best_score
1,-12.67242173396065,-12.67242173396065,-12.67242173396065
2,-489.72557224521603,-251.19899698958835,-12.67242173396065
3,-492.868595880087,-331.7555299530879,-12.67242173396065
4,-538.7868373973611,-383.51335681415617,-12.67242173396065
5,-455.98999075885627,-398.0086836030962,-12.67242173396065
6,-438.9133739597023,-404.82613199586393,-12.67242173396065
7,-435.69154852183055,-409.23547721385916,-12.67242173396065
8,-173.70620615686013,-379.79431833173425,-12.67242173396065
9,-143.9199593162195,-353.5860562188993,-12.67242173396065
10,108.7701317827353,-307.3504374187358,-12.67242173396065
11,-307.7621393327328,-307.38786486546275,-12.67242173396065
12,-412.7627041640271,-316.16910147367645,-12.67242173396065
13,-453.98466634891247,-326.77029877177154,-12.67242173396065
14,-419.68349025309,-333.4069553061514,-12.67242173396065
15,-459.42528252399705,-341.8081771206745,-12.67242173396065
16,-430.79858267606903,-347.3700774678867,-12.67242173396065
17,-416.47150231345586,-351.4348671646849,-12.67242173396065
18,-548.0919807869211,-362.3602623659202,-12.67242173396065
19,-389.8882333603819,-363.80910294457607,-12.67242173396065
20,-384.6163725336391,-364.84946642402923,-12.67242173396065
21,-337.25825952439396,-363.5355994288085,-12.67242173396065
22,-338.6119980863139,-362.40270845869514,-12.67242173396065
23,-282.5476303747682,-358.9307485420027,-12.67242173396065
24,-313.14785829091215,-357.0231281148738,-12.67242173396065
25,-351.7237281732941,-356.81115211721067,-12.67242173396065
26,-357.5306958145839,-356.83882687480195,-12.67242173396065
27,-335.5214007964801,-356.04929257560485,-12.67242173396065
28,-395.71335401005064,-357.46586619826365,-12.67242173396065
29,-345.95281205643073,-357.06886433130387,-12.67242173396065
30,-304.60666991431737,-355.32012451740434,-12.67242173396065
31,-306.60322517229184,-353.748611635304,-12.67242173396065
32,-278.5293886783538,-351.3980109178992,-12.67242173396065
33,-289.98211438488454,-349.5369231441715,-12.67242173396065
34,-313.98340599846244,-348.4912314634153,-12.67242173396065
35,-358.12778405122214,-348.7665615373527,-12.67242173396065
36,-420.51737476039494,-350.7596396824372,-12.67242173396065
37,-309.4956398881527,-349.64439644475385,-12.67242173396065
38,-330.7507298198889,-349.1471946914679,-12.67242173396065
39,-283.81263650432953,-347.47194960974645,-12.67242173396065
40,-264.84208940227535,-345.40620310455967,-12.67242173396065
41,-265.44150497785637,-343.45584461366445,-12.67242173396065
42,-253.3730190128561,-341.3110154326928,-12.67242173396065
43,-266.0418894827508,-339.5605706431593,-12.67242173396065
44,-276.625207788389,-338.13022148736906,-12.67242173396065
45,-234.42783366713877,-335.8257239802528,-12.67242173396065
46,-210.06389688636483,-333.0917712173422,-12.67242173396065
47,-196.54159716191165,-330.186448365099,-12.67242173396065
48,-190.87081373861386,-327.2840393103806,-12.67242173396065
49,-184.91280083491526,-324.37850383128944,-12.67242173396065
50,-196.06586878415692,-321.8122511303468,-12.67242173396065
51,-175.8566060327016,-318.9503757362753,-12.67242173396065
52,-186.130117814423,-316.3961400070089,-12.67242173396065
53,-185.75143477110055,-313.9311455685955,-12.67242173396065
54,-187.44804525353504,-311.58886593313144,-12.67242173396065
55,-186.16887493687798,-309.30850246047225,-12.67242173396065
56,-188.25330293314641,-307.14680246891294,-12.67242173396065
