episode,score,average_score,best_score
1,29724.942864796467,29724.942864796467,29724.942864796467
2,68115.56442624648,48920.25364552147,48920.25364552147
3,61474.711155520745,53105.072815521235,53105.072815521235
4,61406.0066764088,55180.30628074313,55180.30628074313
5,61397.58160494664,56423.76134558383,56423.76134558383
6,46168.63557192266,54714.5737166403,56423.76134558383
7,53852.87606462448,54591.47405206661,56423.76134558383
8,112668.03853484878,61851.04461241438,61851.04461241438
9,112084.27808062939,67432.5149977716,67432.5149977716
10,112130.43609542333,71902.30710753678,71902.30710753678
11,112067.69830708105,75553.70630749535,75553.70630749535
12,112189.47489059794,78606.68702275389,78606.68702275389
13,112071.24168782445,81180.88353545163,81180.88353545163
14,112067.66836990428,83387.08245219826,83387.08245219826
15,112149.7367506468,85304.5927387615,85304.5927387615
16,112143.20652833799,86982.00610061001,86982.00610061001
17,112060.14101319095,88457.19050723242,88457.19050723242
18,112142.73437214745,89773.05405528325,89773.05405528325
19,112153.6890102455,90950.98221080758,90950.98221080758
20,112146.3206537411,92010.74913295425,92010.74913295425
21,112148.92216079675,92969.7097533277,92969.7097533277
22,112182.43405603942,93843.01540345096,93843.01540345096
23,112201.20147587631,94641.19740659988,94641.19740659988
24,112125.26758105923,95369.7003305357,95369.7003305357
25,112164.15702874238,96041.47859846399,96041.47859846399
26,112251.86594827865,96664.9550349953,96664.9550349953
27,112134.46546017758,97237.89986555761,97237.89986555761
28,112142.46280273258,97770.20568474242,97770.20568474242
29,112207.4027725134,98268.04006707935,98268.04006707935
30,112155.9766791903,98730.97128748304,98730.97128748304
31,112107.53079991876,99162.47320723903,99162.47320723903
32,112174.04487588054,99569.08482188408,99569.08482188408
33,112178.7383874434,99951.19553599195,99951.19553599195
34,112114.49487976766,100308.9396343383,100308.9396343383
35,112096.0578524757,100645.7144405708,100645.7144405708
36,112165.12849868543,100965.69816440732,100965.69816440732
37,112156.52180013183,101268.15285726474,101268.15285726474
38,112147.18868304929,101554.44327373276,101554.44327373276
39,112127.76640333528,101825.55412320975,101825.55412320975
40,112168.79724252924,102084.13520119272,102084.13520119272
41,112214.15061182361,102331.20874779347,102331.20874779347
42,112230.31439583654,102566.90173941354,102566.90173941354
43,112134.5247838896,102789.40460091298,102789.40460091298
44,112192.06236596747,103003.1013683006,103003.1013683006
45,112115.81254073334,103205.60606102132,103205.60606102132
46,112162.84020023025,103400.32854230847,103400.32854230847
47,112132.2564792679,103586.11424309485,103586.11424309485
48,112145.68384803098,103764.43860986433,103764.43860986433
49,112099.51738927775,103934.5422584238,103934.5422584238
50,112072.22824613773,104097.29597817807,104097.29597817807
51,112175.46837103732,104255.69151529296,104255.69151529296
52,112148.21633708845,104407.47083878903,104407.47083878903
53,112132.33099299732,104553.22291717032,104553.22291717032
54,112265.3595722822,104696.04026263535,104696.04026263535
55,112160.95547999779,104831.76599386013,104831.76599386013
56,112240.7173925721,104964.06869740854,104964.06869740854
57,112134.4244406831,105089.86441220282,105089.86441220282
58,112240.48074204885,105213.15090064844,105213.15090064844
59,112128.80394111533,105330.36535896144,105330.36535896144
60,112094.43281587888,105443.09981657674,105443.09981657674
61,112197.50919440064,105553.82783916402,105553.82783916402
62,112169.13880085826,105660.52640306232,105660.52640306232
63,112144.06349429737,105763.43969022478,105763.43969022478
64,112092.42904877955,105862.3301489522,105862.3301489522
65,112204.8153199682,105959.9068438909,105959.9068438909
66,112128.11800075951,106053.36458869195,106053.36458869195
67,112158.61762739177,106144.48776837403,106144.48776837403
68,112194.1431404689,106233.4532885519,106233.4532885519
69,112181.59568834485,106319.65825086774,106319.65825086774
