episode,score,average_score,best_score
1,23.0,23.0,23.0
2,12.0,17.5,23.0
3,12.0,15.666666666666666,23.0
4,16.0,15.75,23.0
5,16.0,15.8,23.0
6,19.0,16.333333333333332,23.0
7,17.0,16.428571428571427,23.0
8,11.0,15.75,23.0
9,19.0,16.11111111111111,23.0
10,14.0,15.9,23.0
11,20.0,16.272727272727273,23.0
12,15.0,16.166666666666668,23.0
13,14.0,16.0,23.0
14,20.0,16.285714285714285,23.0
15,18.0,16.4,23.0
16,23.0,16.8125,23.0
17,26.0,17.352941176470587,23.0
18,21.0,17.555555555555557,23.0
19,13.0,17.31578947368421,23.0
20,12.0,17.05,23.0
21,15.0,16.952380952380953,23.0
22,25.0,17.318181818181817,23.0
23,13.0,17.130434782608695,23.0
24,22.0,17.333333333333332,23.0
25,19.0,17.4,23.0
26,20.0,17.5,23.0
27,17.0,17.48148148148148,23.0
28,10.0,17.214285714285715,23.0
29,17.0,17.20689655172414,23.0
30,19.0,17.266666666666666,23.0
31,38.0,17.93548387096774,23.0
32,15.0,17.84375,23.0
33,26.0,18.09090909090909,23.0
34,27.0,18.352941176470587,23.0
35,26.0,18.571428571428573,23.0
36,16.0,18.5,23.0
37,13.0,18.35135135135135,23.0
38,12.0,18.18421052631579,23.0
39,14.0,18.076923076923077,23.0
40,22.0,18.175,23.0
41,15.0,18.097560975609756,23.0
42,18.0,18.095238095238095,23.0
43,10.0,17.906976744186046,23.0
44,12.0,17.772727272727273,23.0
45,20.0,17.822222222222223,23.0
46,16.0,17.782608695652176,23.0
47,21.0,17.851063829787233,23.0
48,23.0,17.958333333333332,23.0
49,17.0,17.93877551020408,23.0
50,18.0,17.94,23.0
51,15.0,17.88235294117647,23.0
52,13.0,17.78846153846154,23.0
53,15.0,17.735849056603772,23.0
54,20.0,17.77777777777778,23.0
55,14.0,17.70909090909091,23.0
56,24.0,17.821428571428573,23.0
57,11.0,17.70175438596491,23.0
58,9.0,17.551724137931036,23.0
59,9.0,17.406779661016948,23.0
60,7.0,17.233333333333334,23.0
61,8.0,17.081967213114755,23.0
62,7.0,16.919354838709676,23.0
63,7.0,16.761904761904763,23.0
64,6.0,16.59375,23.0
65,7.0,16.446153846153845,23.0
66,7.0,16.303030303030305,23.0
67,7.0,16.16417910447761,23.0
68,7.0,16.029411764705884,23.0
69,7.0,15.898550724637682,23.0
70,6.0,15.757142857142858,23.0
71,6.0,15.619718309859154,23.0
72,8.0,15.51388888888889,23.0
73,6.0,15.383561643835616,23.0
74,7.0,15.27027027027027,23.0
75,6.0,15.146666666666667,23.0
76,6.0,15.026315789473685,23.0
77,7.0,14.922077922077921,23.0
78,7.0,14.820512820512821,23.0
79,6.0,14.708860759493671,23.0
80,7.0,14.6125,23.0
81,7.0,14.518518518518519,23.0
82,6.0,14.414634146341463,23.0
83,7.0,14.325301204819278,23.0
84,6.0,14.226190476190476,23.0
85,6.0,14.129411764705882,23.0
86,6.0,14.034883720930232,23.0
87,6.0,13.942528735632184,23.0
88,6.0,13.852272727272727,23.0
89,6.0,13.764044943820224,23.0
90,6.0,13.677777777777777,23.0
91,6.0,13.593406593406593,23.0
92,6.0,13.51086956521739,23.0
93,5.0,13.419354838709678,23.0
94,5.0,13.329787234042554,23.0
95,6.0,13.25263157894737,23.0
96,5.0,13.166666666666666,23.0
97,5.0,13.082474226804123,23.0
98,5.0,13.0,23.0
99,5.0,12.919191919191919,23.0
100,5.0,12.84,23.0
101,5.0,12.66,23.0
102,5.0,12.59,23.0
103,5.0,12.52,23.0
104,5.0,12.41,23.0
105,5.0,12.3,23.0
106,5.0,12.16,23.0
107,5.0,12.04,23.0
108,5.0,11.98,23.0
109,4.0,11.83,23.0
110,5.0,11.74,23.0
111,4.0,11.58,23.0
112,4.0,11.47,23.0
113,4.0,11.37,23.0
114,4.0,11.21,23.0
115,4.0,11.07,23.0
116,5.0,10.89,23.0
117,4.0,10.67,23.0
118,4.0,10.5,23.0
119,4.0,10.41,23.0
120,4.0,10.33,23.0
121,4.0,10.22,23.0
122,4.0,10.01,23.0
123,4.0,9.92,23.0
124,4.0,9.74,23.0
125,4.0,9.59,23.0
126,4.0,9.43,23.0
127,4.0,9.3,23.0
128,4.0,9.24,23.0
129,4.0,9.11,23.0
130,4.0,8.96,23.0
131,4.0,8.62,23.0
132,4.0,8.51,23.0
133,4.0,8.29,23.0
134,4.0,8.06,23.0
135,4.0,7.84,23.0
136,4.0,7.72,23.0
137,4.0,7.63,23.0
138,4.0,7.55,23.0
139,4.0,7.45,23.0
140,4.0,7.27,23.0
141,4.0,7.16,23.0
142,4.0,7.02,23.0
143,4.0,6.96,23.0
144,4.0,6.88,23.0
145,4.0,6.72,23.0
146,4.0,6.6,23.0
147,4.0,6.43,23.0
148,4.0,6.24,23.0
149,4.0,6.11,23.0
150,4.0,5.97,23.0
151,4.0,5.86,23.0
152,4.0,5.77,23.0
153,4.0,5.66,23.0
154,4.0,5.5,23.0
155,4.0,5.4,23.0
156,4.0,5.2,23.0
157,4.0,5.13,23.0
158,4.0,5.08,23.0
159,4.0,5.03,23.0
160,4.0,5.0,23.0
161,4.0,4.96,23.0
162,4.0,4.93,23.0
163,4.0,4.9,23.0
164,4.0,4.88,23.0
165,4.0,4.85,23.0
166,4.0,4.82,23.0
167,4.0,4.79,23.0
168,4.0,4.76,23.0
169,4.0,4.73,23.0
170,4.0,4.71,23.0
171,4.0,4.69,23.0
172,4.0,4.65,23.0
