episode,score,average_score,best_score
1,-275.10754210704783,-275.10754210704783,-275.10754210704783
2,-163.0385157313999,-219.07302891922387,-219.07302891922387
3,-55.660716516370144,-164.60225811827263,-164.60225811827263
4,-272.4434759842981,-191.56256258477902,-164.60225811827263
5,-131.78941122644645,-179.60793231311249,-164.60225811827263
6,-134.4137602935353,-172.0755703098496,-164.60225811827263
7,-144.00067666497148,-168.06487121772417,-164.60225811827263
8,-40.70633123866163,-152.14505372034137,-152.14505372034137
9,-121.11419085112522,-148.69718006820622,-148.69718006820622
10,-282.8662439392621,-162.11408645531182,-148.69718006820622
11,-65.20009355646833,-153.30372346450787,-148.69718006820622
12,-463.4938932106848,-179.15290427668927,-148.69718006820622
13,-456.1871002243236,-200.46322704189194,-148.69718006820622
14,-418.6567552460656,-216.04847905647577,-148.69718006820622
15,-323.4572455074663,-223.2090634865418,-148.69718006820622
16,-522.35803252082,-241.90587405118416,-148.69718006820622
17,-580.8389500512492,-261.84311381589384,-148.69718006820622
18,-843.0974181729352,-294.13501961350727,-148.69718006820622
19,-473.71161320127976,-303.5864192760216,-148.69718006820622
20,-334.74003526574836,-305.14410007550794,-148.69718006820622
21,-302.8210052947692,-305.0334765145204,-148.69718006820622
22,-526.5891143490176,-315.10418732517934,-148.69718006820622
23,-305.09749431648413,-314.6691137161056,-148.69718006820622
24,-323.37947930348264,-315.0320456155797,-148.69718006820622
25,-128.48163663756682,-307.5700292564592,-148.69718006820622
26,-311.42373623874585,-307.7182487557779,-148.69718006820622
27,-118.26623003259893,-300.7015073215861,-148.69718006820622
28,-167.0659963134475,-295.92881049986687,-148.69718006820622
29,-433.4316856332076,-300.6702889527407,-148.69718006820622
30,-462.00460654213197,-306.04809953905374,-148.69718006820622
31,-466.4684157960201,-311.2229484505688,-148.69718006820622
32,-483.4644238934146,-316.6054945581577,-148.69718006820622
33,-327.28186583347417,-316.92902096044,-148.69718006820622
34,-333.80252757108576,-317.42530056663554,-148.69718006820622
35,-205.56804084444525,-314.2293788602872,-148.69718006820622
36,-140.4410582854862,-309.4019255109872,-148.69718006820622
37,-478.2511981732317,-313.96541936672355,-148.69718006820622
38,-86.36461368423556,-307.9759244803423,-148.69718006820622
39,-774.7872479694621,-319.94544559544795,-148.69718006820622
40,-896.4933496136974,-334.3591431959041,-148.69718006820622
41,-254.34441547031147,-332.40756447088967,-148.69718006820622
42,-495.23161570861254,-336.28432759559735,-148.69718006820622
43,-228.08666160138574,-333.76810280503435,-148.69718006820622
44,-874.8813298046712,-346.06613069138973,-148.69718006820622
45,-190.5640971287848,-342.61052994555405,-148.69718006820622
46,-7.296535342629369,-335.3210952802731,-148.69718006820622
47,-270.52209630563266,-333.9423931744297,-148.69718006820622
48,1.1780680702236452,-326.96071689849936,-148.69718006820622
49,-193.5165588393732,-324.23736673402743,-148.69718006820622
50,-244.2278578720335,-322.63717655678755,-148.69718006820622
51,-221.7498648645663,-320.65899397458713,-148.69718006820622
52,-304.36803752816303,-320.3457063506175,-148.69718006820622
53,-151.5789768411227,-317.161428435344,-148.69718006820622
54,-234.86744289318872,-315.6374657401189,-148.69718006820622
55,-279.706053106428,-314.9841673285972,-148.69718006820622
56,-276.50950409768086,-314.2971197709022,-148.69718006820622
57,-318.13654521545516,-314.36447811203476,-148.69718006820622
58,-230.64949773443595,-312.9211163813865,-148.69718006820622
59,-444.16525868028737,-315.1455933695035,-148.69718006820622
60,-401.26071951270563,-316.5808454718902,-148.69718006820622
61,-363.8789456371408,-317.35622416312384,-148.69718006820622
62,-432.68197700720094,-319.2163169509315,-148.69718006820622
63,-251.10440491220288,-318.1351754899993,-148.69718006820622
64,-432.0163501656508,-319.91456884430636,-148.69718006820622
65,-374.1539156965777,-320.7490203343413,-148.69718006820622
66,-590.4358898137652,-324.8351850234235,-148.69718006820622
67,-248.79309111856142,-323.70022839797775,-148.69718006820622
68,-359.17667301922836,-324.2219408188785,-148.69718006820622
69,-397.11794733864406,-325.27840468148383,-148.69718006820622
70,-249.44034803934542,-324.1950038723104,-148.69718006820622
71,-501.9721033304266,-326.6989066815796,-148.69718006820622
72,-374.48257239617703,-327.36256870539347,-148.69718006820622
73,-478.28344563958785,-329.42997797846465,-148.69718006820622
74,-375.6781630289066,-330.05495345211926,-148.69718006820622
75,-364.8666974425297,-330.5191100386581,-148.69718006820622
76,-372.04650018229364,-331.06552306686376,-148.69718006820622
77,-244.30168912663567,-329.938720028679,-148.69718006820622
78,-291.4114721144793,-329.4447809528559,-148.69718006820622
79,-198.04900461683675,-327.7815432777164,-148.69718006820622
80,-188.24432792449386,-326.03732808580116,-148.69718006820622
81,-231.6366444835187,-324.8718875475014,-148.69718006820622
82,-245.9450429050276,-323.9093650518614,-148.69718006820622
83,-241.85947100471202,-322.9208121115343,-148.69718006820622
84,-195.34257146889655,-321.4020235324553,-148.69718006820622
85,-247.33807686314753,-320.53068298340463,-148.69718006820622
86,-269.2147558147992,-319.93398615586267,-148.69718006820622
87,-96.25632285869273,-317.3629785317573,-148.69718006820622
88,-187.26938056574164,-315.88464219123443,-148.69718006820622
89,-169.7364673497341,-314.24252786717267,-148.69718006820622
90,-298.98049868757397,-314.0729497651771,-148.69718006820622
91,-192.7871165104081,-312.7401384107291,-148.69718006820622
92,-349.81005934689756,-313.14307233394834,-148.69718006820622
93,-377.57970128592183,-313.83593931192655,-148.69718006820622
94,-235.01309377443954,-312.9973984019533,-148.69718006820622
95,-71.54317450984547,-310.4557749925627,-148.69718006820622
96,-411.8178067283175,-311.5116294898101,-148.69718006820622
97,-80.89152754060851,-309.1341026655915,-148.69718006820622
98,-466.90036641352765,-310.74396249975416,-148.69718006820622
99,-64.64308479317721,-308.25809504817255,-148.69718006820622
100,-94.81218650976719,-306.1236359627885,-148.69718006820622
101,-212.8346290703096,-305.5009068324211,-148.69718006820622
102,-128.33628507994433,-305.15388452590656,-148.69718006820622
103,-309.7578875641192,-307.69485623638406,-148.69718006820622
104,-160.78608134804628,-306.57828229002155,-148.69718006820622
105,-226.87450480699565,-307.529133225827,-148.69718006820622
106,-161.20053138076221,-307.7970009366993,-148.69718006820622
107,-237.11581405481476,-308.72815231059775,-148.69718006820622
108,-153.89639964267403,-309.8600529946379,-148.69718006820622
109,-182.23012273229023,-310.47121231344954,-148.69718006820622
110,-264.6625999323213,-310.28917587338015,-148.69718006820622
111,-147.577430102103,-311.1129492388365,-148.69718006820622
112,-413.82137068851216,-310.6162240136147,-148.69718006820622
113,-535.5196427954222,-311.4095494393257,-148.69718006820622
114,-226.61923964273552,-309.48917428329236,-148.69718006820622
115,-223.0710198458405,-308.4853120266761,-148.69718006820622
116,-462.4044468346892,-307.88577616981485,-148.69718006820622
117,-292.3331194675667,-305.000717863978,-148.69718006820622
118,-238.71967945203286,-298.9569404767689,-148.69718006820622
119,-116.44953827218677,-295.38431972747804,-148.69718006820622
120,-272.5346170032049,-294.76226554485265,-148.69718006820622
121,-281.3824729733001,-294.5478802216379,-148.69718006820622
122,-339.4730111144836,-292.67671918929256,-148.69718006820622
123,-174.65903786600683,-291.3723346247878,-148.69718006820622
124,-353.4078630207232,-291.6726184619602,-148.69718006820622
125,-369.4476397062745,-294.0822784926473,-148.69718006820622
126,-304.4946264503926,-294.01298739476374,-148.69718006820622
127,-259.71617475112663,-295.427486841949,-148.69718006820622
128,-283.3704089441801,-296.59053096825636,-148.69718006820622
129,-314.2483401094722,-295.39869751301904,-148.69718006820622
130,-109.64588421194588,-291.87511028971716,-148.69718006820622
131,-381.8366687611565,-291.0287928193685,-148.69718006820622
132,-270.1715047629635,-288.895863628064,-148.69718006820622
133,-229.6985640870267,-287.9200306105995,-148.69718006820622
134,-123.98862836800366,-285.8218916185687,-148.69718006820622
135,-223.48196130271185,-286.0010308231513,-148.69718006820622
136,-99.04849924794757,-285.5871052327759,-148.69718006820622
137,-182.9088410408218,-282.6336816614519,-148.69718006820622
138,-51.00131935850381,-282.28004871819456,-148.69718006820622
139,-281.5641254408507,-277.34781749290846,-148.69718006820622
140,-239.01009686354243,-270.77298496540686,-148.69718006820622
141,-254.70350200344075,-270.7765758307382,-148.69718006820622
142,-282.58752286933355,-268.65013490234537,-148.69718006820622
143,-196.74312086089208,-268.33669949494043,-148.69718006820622
144,-266.32395892993634,-262.2511257861931,-148.69718006820622
145,-183.38370056862152,-262.17932182059144,-148.69718006820622
146,-201.14372191521807,-264.1177936863173,-148.69718006820622
147,-260.234003635874,-264.0149127596198,-148.69718006820622
148,-345.22964441101624,-267.47898988443217,-148.69718006820622
149,-311.2779841860577,-268.65660413789897,-148.69718006820622
150,-332.1837576916521,-269.5361631360952,-148.69718006820622
151,-210.02008132802,-269.41886530072975,-148.69718006820622
152,-245.364424456636,-268.82882917001444,-148.69718006820622
153,-249.92811722918094,-269.812320573895,-148.69718006820622
154,-252.08518382773394,-269.98449798324054,-148.69718006820622
155,-200.40130593606426,-269.19145051153686,-148.69718006820622
156,-267.9096070960418,-269.1054515415205,-148.69718006820622
157,-209.70244156188357,-268.02111050498473,-148.69718006820622
158,-174.14085199800786,-267.4560240476205,-148.69718006820622
159,-243.29606764676993,-265.4473321372853,-148.69718006820622
160,-227.39934581601563,-263.7087184003184,-148.69718006820622
161,-231.86490106612519,-262.38857795460825,-148.69718006820622
162,-235.34555803942143,-260.41521376493046,-148.69718006820622
163,-144.35698263912013,-259.34773954219963,-148.69718006820622
164,-166.22977224986158,-256.68987376304176,-148.69718006820622
165,-157.23813594124277,-254.52071596548842,-148.69718006820622
166,-260.38175420084633,-251.22017460935925,-148.69718006820622
167,-200.7813221570571,-250.7400569197442,-148.69718006820622
168,-210.91040316792512,-249.25739422123115,-148.69718006820622
169,-197.891525015294,-247.2651299979976,-148.69718006820622
170,-244.7221595069777,-247.21794811267395,-148.69718006820622
171,-243.02361345536903,-244.6284632139234,-148.69718006820622
172,-294.47711648036284,-243.82840865476527,-148.69718006820622
173,-192.11390701758052,-240.96671326854522,-148.69718006820622
174,-152.8332974809416,-238.73826461306555,-148.69718006820622
175,-251.188784527446,-237.6014854839147,-148.69718006820622
176,-126.0429512854834,-235.14144999494658,-148.69718006820622
177,-195.41210887665267,-234.65255419244673,-148.69718006820622
178,-134.07859547495937,-233.07922542605152,-148.69718006820622
179,-118.38713927524391,-232.2826067726356,-148.69718006820622
180,-84.90987065482203,-231.24926219993887,-148.69718006820622
181,-31.438463527757236,-229.24728039038123,-148.69718006820622
182,-90.42685738073777,-227.6920985351384,-148.69718006820622
183,-37.86814312213814,-225.65218525631263,-148.69718006820622
184,-58.47290479967988,-224.2834885896205,-148.69718006820622
185,-76.46038241348545,-222.57471164512387,-148.69718006820622
186,-91.12142628767765,-220.79377834985266,-148.69718006820622
187,-162.8641939996856,-221.45985706126257,-148.69718006820622
188,-159.1810143214328,-221.17897339881947,-148.69718006820622
189,-108.59821372880448,-220.56759086261016,-148.69718006820622
190,-163.7378956695063,-219.21516483242948,-148.69718006820622
191,-89.25151665846073,-218.17980883391,-148.69718006820622
192,17.225901518473407,-214.50944922525633,-148.69718006820622
193,34.3339231287772,-210.39031298110933,-148.69718006820622
194,-92.36153063587828,-208.9637973497237,-148.69718006820622
195,-120.66145448373835,-209.45498014946267,-148.69718006820622
196,-90.76762331313695,-206.24447831531086,-148.69718006820622
197,-133.1254714692143,-206.76681775459693,-148.69718006820622
198,-28.81846052997109,-202.38599869576137,-148.69718006820622
199,-40.27429152303777,-202.14231076305998,-148.69718006820622
200,-76.78612384768579,-201.96205013643913,-148.69718006820622
201,-164.1646880321511,-201.47535072605754,-148.69718006820622
202,-156.37954103142388,-201.75578328557236,-148.69718006820622
203,-129.57804494617125,-199.95398485939285,-148.69718006820622
204,-173.02513296047024,-200.07637537551705,-148.69718006820622
205,-145.4264918498418,-199.26189524594554,-148.69718006820622
206,-130.9145406488021,-198.95903533862594,-148.69718006820622
207,-17.887791457727843,-196.76675511265503,-148.69718006820622
208,-344.5805207297584,-198.6735963235259,-148.69718006820622
209,-141.2521151298195,-198.26381624750127,-148.69718006820622
210,-315.3446086536901,-198.77063633471494,-148.69718006820622
211,-162.22178889549434,-198.91707992264884,-148.69718006820622
212,-260.18895704281255,-197.38075578619183,-148.69718006820622
213,-409.6442897800847,-196.12200225603846,-148.69718006820622
214,-200.77106740012178,-195.86352053361236,-148.69718006820622
215,-7.946792219616654,-193.71227825735008,-148.69718006820622
216,-132.82689282543686,-190.41650271725757,-148.69718006820622
217,-252.712415943899,-190.02029568202087,-148.69718006820622
218,-89.85030055247861,-188.53160189302534,-148.69718006820622
219,-105.78422950912193,-188.4249488053947,-148.69718006820622
220,-193.92180233136156,-187.63882065867628,-148.69718006820622
221,-157.32235648497954,-186.39821949379308,-148.69718006820622
222,-143.35074799946395,-184.43699686264284,-148.69718006820622
223,-88.62743472636762,-183.57668083124645,-148.69718006820622
224,-106.8971790609798,-181.111573991649,-148.69718006820622
225,-261.70546196022417,-180.0341522141885,-148.69718006820622
226,-196.40650182529197,-178.9532709679375,-148.69718006820622
227,-205.06161161365844,-178.4067253365628,-148.69718006820622
228,-202.27620058776435,-177.59578325299867,-148.69718006820622
229,-176.84007257848742,-176.22170057768884,-148.69718006820622
230,-48.836155458676174,-175.61360329015614,-148.69718006820622
231,-191.11780150526153,-173.70641461759718,-148.69718006820622
232,-218.49424434862075,-173.18964201345378,-148.69718006820622
233,-199.39567600257521,-172.88661313260928,-148.69718006820622
234,-140.52138998818657,-173.05194074881106,-148.69718006820622
235,-89.00672856346108,-171.70718842141858,-148.69718006820622
236,-232.09170643056277,-173.03762049324473,-148.69718006820622
237,-197.2113286934226,-173.18064536977067,-148.69718006820622
238,-203.89105883768963,-174.70954276456257,-148.69718006820622
