episode,score,average_score,best_score
1,-1.9431183713215223,-1.9431183713215223,-1.9431183713215223
2,-73.38138597292983,-37.662252172125676,-1.9431183713215223
3,-64.39824065702275,-46.57424833375804,-1.9431183713215223
4,-64.58721388351861,-51.077489721198184,-1.9431183713215223
5,-64.31225769789805,-53.72444331653816,-1.9431183713215223
6,-64.08950784079026,-55.45195407058017,-1.9431183713215223
7,-64.62412813669854,-56.762264651454224,-1.9431183713215223
8,-64.7974121355084,-57.766658086960994,-1.9431183713215223
9,-64.24827656758642,-58.486837918141596,-1.9431183713215223
10,-65.26172488907966,-59.1643266152354,-1.9431183713215223
11,-64.39905175877344,-59.64021071919341,-1.9431183713215223
12,-65.3485209914649,-60.1159032418827,-1.9431183713215223
13,-64.32412895450949,-60.439612912084755,-1.9431183713215223
14,-64.63518911420982,-60.739296926522265,-1.9431183713215223
15,-64.22097713219274,-60.97140894023362,-1.9431183713215223
16,-63.67543747723455,-61.14041072379619,-1.9431183713215223
17,-64.13425158929307,-61.31651901000188,-1.9431183713215223
18,-64.24505054323666,-61.47921520629271,-1.9431183713215223
19,-64.38959837030775,-61.63239326755666,-1.9431183713215223
20,-64.71768252644445,-61.78665773050104,-1.9431183713215223
21,-64.97246398600512,-61.93836279028695,-1.9431183713215223
22,-64.48685368174966,-62.05420328535343,-1.9431183713215223
23,-65.33733299154378,-62.1969480551878,-1.9431183713215223
24,-65.89642805796264,-62.351093055303416,-1.9431183713215223
25,-67.1493377925589,-62.54302284479364,-1.9431183713215223
26,-68.95360787319363,-62.789583807424414,-1.9431183713215223
27,-70.10824149610806,-63.06064520330159,-1.9431183713215223
28,-69.94473887412514,-63.30650569154528,-1.9431183713215223
29,-72.83974865895746,-63.635238207662944,-1.9431183713215223
30,-74.0168622285765,-63.98129234169339,-1.9431183713215223
31,-74.48353198270217,-64.3200742655969,-1.9431183713215223
32,-76.51517776296333,-64.70117124988961,-1.9431183713215223
33,-78.95335166045999,-65.13305550475539,-1.9431183713215223
34,-82.31625888094543,-65.63844383934921,-1.9431183713215223
35,-85.28775927434633,-66.19985285177769,-1.9431183713215223
36,-85.95193344507054,-66.74852175714695,-1.9431183713215223
37,-86.92161347135128,-67.29374045212543,-1.9431183713215223
38,-87.76686820574281,-67.83250697195747,-1.9431183713215223
39,-88.64585062935224,-68.3661824503522,-1.9431183713215223
40,-89.63460969178075,-68.89789313138792,-1.9431183713215223
41,-91.0385087801497,-69.43790814721137,-1.9431183713215223
42,-91.37253267870412,-69.96016111224692,-1.9431183713215223
43,-92.49704935249065,-70.48427479225258,-1.9431183713215223
