episode,score,average_score,best_score
1,-1166.1967828737522,-1166.1967828737522,-1166.1967828737522
2,-1321.8975684451316,-1244.047175659442,-1166.1967828737522
3,-1507.9055886206042,-1331.9999799798295,-1166.1967828737522
4,-1077.4782601605043,-1268.3695500249983,-1166.1967828737522
5,-970.1072699131306,-1208.717094002625,-1166.1967828737522
6,-1597.723479192886,-1273.551491534335,-1166.1967828737522
7,-1109.8831514126102,-1250.1703000883742,-1166.1967828737522
8,-1605.349593031404,-1294.567711706253,-1166.1967828737522
9,-1785.7623616184026,-1349.1448950298252,-1166.1967828737522
10,-1793.3884069956457,-1393.5692462264074,-1166.1967828737522
11,-1838.9232193946266,-1434.0559710598818,-1166.1967828737522
12,-1731.5027272043953,-1458.8432007385911,-1166.1967828737522
13,-1654.814863938406,-1473.9179440616538,-1166.1967828737522
14,-1693.0603831521405,-1489.57097542526,-1166.1967828737522
15,-1668.6565682113524,-1501.5100149443329,-1166.1967828737522
16,-1727.1518024839095,-1515.6126266655565,-1166.1967828737522
17,-1723.3173658155602,-1527.8305524979096,-1166.1967828737522
18,-1380.4928759667227,-1519.6451260239548,-1166.1967828737522
19,-1585.8722277197799,-1523.1307629553141,-1166.1967828737522
20,-1426.4233853359376,-1518.2953940743453,-1166.1967828737522
21,-1494.1182773386984,-1517.144102801219,-1166.1967828737522
22,-1513.32946526552,-1516.9707101859601,-1166.1967828737522
23,-1519.5490678469926,-1517.0828126929614,-1166.1967828737522
24,-1207.9373204793608,-1504.2017505173947,-1166.1967828737522
25,-1446.963775827836,-1501.9122315298123,-1166.1967828737522
26,-1393.0660648137575,-1497.7258405022717,-1166.1967828737522
27,-1603.2842369030118,-1501.635410739336,-1166.1967828737522
28,-1474.5680046923208,-1500.6687176662285,-1166.1967828737522
29,-1551.0879204153857,-1502.4073108644752,-1166.1967828737522
30,-1364.2928408671085,-1497.8034951978962,-1166.1967828737522
31,-1412.8029799096416,-1495.0615430918235,-1166.1967828737522
32,-1567.5178779156554,-1497.3258035550684,-1166.1967828737522
33,-1481.039926290266,-1496.8322921228016,-1166.1967828737522
34,-1420.6958390881794,-1494.5929846806068,-1166.1967828737522
35,-1528.9683261015864,-1495.575137292635,-1166.1967828737522
36,-1526.8397657155253,-1496.4435991932705,-1166.1967828737522
37,-1631.6598963136594,-1500.0980937100378,-1166.1967828737522
38,-1419.9877299605794,-1497.989926242947,-1166.1967828737522
39,-1562.4777768537892,-1499.6434608739942,-1166.1967828737522
40,-1448.0650700854012,-1498.3540011042794,-1166.1967828737522
41,-1476.2822157251396,-1497.81566487552,-1166.1967828737522
42,-1514.3634109901159,-1498.2096588306295,-1166.1967828737522
43,-1388.3029434881587,-1495.653688706386,-1166.1967828737522
44,-1396.0891293915095,-1493.3908578128662,-1166.1967828737522
45,-1349.1728283343361,-1490.1860127133434,-1166.1967828737522
46,-1576.1821995715036,-1492.0554950363469,-1166.1967828737522
47,-1366.8399323752428,-1489.3913341286636,-1166.1967828737522
48,-1465.8856446557354,-1488.901632264644,-1166.1967828737522
49,-1349.9337828083385,-1486.0655537043112,-1166.1967828737522
50,-1301.8053269962595,-1482.38034917015,-1166.1967828737522
51,-1365.3536703655177,-1480.0857084092747,-1166.1967828737522
52,-1439.3589983860725,-1479.3025024472902,-1166.1967828737522
53,-1127.4706633391888,-1472.6641658603448,-1166.1967828737522
54,-1342.9021807996228,-1470.261166136998,-1166.1967828737522
55,-1427.7421699165284,-1469.488093478444,-1166.1967828737522
56,-1220.7064512755649,-1465.0455641533931,-1166.1967828737522
57,-1378.1581233119105,-1463.5212230859986,-1166.1967828737522
58,-1206.6390848260783,-1459.0922207022068,-1166.1967828737522
59,-1378.676966792177,-1457.7292502969522,-1166.1967828737522
60,-1247.6934175784495,-1454.2286530849772,-1166.1967828737522
61,-1425.38578423527,-1453.7558191694081,-1166.1967828737522
62,-1162.682281502049,-1449.0610846909024,-1166.1967828737522
63,-1280.6960076239345,-1446.3886231501567,-1166.1967828737522
64,-1317.9077081543046,-1444.3811088533466,-1166.1967828737522
65,-1054.4306550790716,-1438.3818711029733,-1166.1967828737522
66,-1159.6168569838237,-1434.1581587678345,-1166.1967828737522
67,-909.7308840907579,-1426.3308860114605,-1166.1967828737522
68,-1150.2424185973118,-1422.270761490664,-1166.1967828737522
69,-1194.61138309554,-1418.9713502095753,-1166.1967828737522
70,-1144.1743778696446,-1415.0456791761476,-1166.1967828737522
71,-1308.0502145812009,-1413.538700801571,-1166.1967828737522
72,-1332.0546840691682,-1412.4069783469542,-1166.1967828737522
73,-1136.4983133943815,-1408.6274075941792,-1166.1967828737522
74,-1141.2764191174624,-1405.014556398548,-1166.1967828737522
75,-1230.865744690284,-1402.6925722424378,-1166.1967828737522
76,-1373.092244322174,-1402.303094243487,-1166.1967828737522
77,-1037.2711804308885,-1397.5624200381285,-1166.1967828737522
78,-1724.579130995295,-1401.754941973477,-1166.1967828737522
79,-1131.6713246661764,-1398.3361620075618,-1166.1967828737522
80,-1003.4013163147902,-1393.399476436402,-1166.1967828737522
81,-991.0056983110882,-1388.4316520151017,-1166.1967828737522
82,-1131.2370210573515,-1385.2951321253731,-1166.1967828737522
83,-1102.492896102092,-1381.8878762696709,-1166.1967828737522
84,-1116.8635708972322,-1378.732825015237,-1166.1967828737522
85,-895.2318185613693,-1373.0445778804856,-1166.1967828737522
86,-975.217798022971,-1368.4186850914448,-1166.1967828737522
87,-1264.6129488279848,-1367.2255157091063,-1166.1967828737522
88,-1022.7175181700522,-1363.310652100708,-1166.1967828737522
89,-1041.070338481038,-1359.689974419588,-1166.1967828737522
90,-1125.3588775933133,-1357.0862955659627,-1166.1967828737522
91,-1002.9692072338721,-1353.194898990885,-1166.1967828737522
92,-1728.7076336324474,-1357.2765591500322,-1166.1967828737522
93,-1276.621637089345,-1356.4093019235731,-1166.1967828737522
94,-1127.5709088955346,-1353.974850933913,-1166.1967828737522
95,-879.6759189210832,-1348.982230596936,-1166.1967828737522
96,-1000.7681833119121,-1345.355000937717,-1166.1967828737522
97,-1161.5424449448815,-1343.4600261336673,-1166.1967828737522
98,-1093.112228718004,-1340.9054567722828,-1166.1967828737522
99,-759.344770693279,-1335.0311064078485,-1166.1967828737522
100,-881.2478451915539,-1330.4932737956856,-1166.1967828737522
101,-940.5058051311067,-1328.236364018259,-1166.1967828737522
102,-887.7800305775457,-1323.8951886395835,-1166.1967828737522
103,-1240.7791461022694,-1321.2239242143999,-1166.1967828737522
104,-1019.0133429553966,-1320.6392750423486,-1166.1967828737522
105,-1148.1723380121737,-1322.4199257233392,-1166.1967828737522
106,-1033.5389772502408,-1316.778080703913,-1166.1967828737522
107,-985.3381966881477,-1315.5326311566685,-1166.1967828737522
108,-915.0464411758726,-1308.6295996381127,-1166.1967828737522
109,-878.5965899002072,-1299.557941920931,-1166.1967828737522
110,-928.2831688493819,-1290.9068895394682,-1166.1967828737522
111,-1021.4137461433786,-1282.7317948069558,-1166.1967828737522
112,-1035.9732814239303,-1275.776500349151,-1166.1967828737522
113,-1103.6668422099494,-1270.2650201318665,-1166.1967828737522
114,-1225.2764972739012,-1265.587181273084,-1166.1967828737522
115,-1002.3542445882267,-1258.924158036853,-1166.1967828737522
116,-968.1054627208487,-1251.3336946392226,-1166.1967828737522
117,-1010.9188384846381,-1244.209709365913,-1166.1967828737522
118,-1000.8900981912551,-1240.4136815881586,-1166.1967828737522
119,-885.2944754615764,-1233.4079040655765,-1166.1967828737522
120,-510.55883245716507,-1224.2492585367886,-1166.1967828737522
121,-1041.8636544910444,-1219.726712308312,-1166.1967828737522
122,-1115.2268816457747,-1215.7456864721148,-1166.1967828737522
123,-640.7526209457344,-1206.957722003102,-1166.1967828737522
124,-998.092801903401,-1204.8592768173426,-1166.1967828737522
125,-881.0543273035912,-1199.2001823321,-1166.1967828737522
126,-1187.4597079534415,-1197.1441187634969,-1166.1967828737522
127,-1204.5726392507295,-1193.157002786974,-1166.1967828737522
128,-901.0656227939762,-1187.4219789679908,-1166.1967828737522
129,-1080.1978989107238,-1182.7130787529443,-1166.1967828737522
130,-884.8207944290523,-1177.9183582885637,-1166.1967828737522
131,-907.0325346696575,-1172.860653836164,-1166.1967828737522
132,-1179.7147807398644,-1168.9826228644058,-1166.1967828737522
133,-999.562169161979,-1164.1678452931228,-1164.1678452931228
134,-1096.1965850129661,-1160.9228527523708,-1160.9228527523708
135,-1007.5329988261119,-1155.708499479616,-1155.708499479616
136,-874.1106875109363,-1149.1812086975701,-1149.1812086975701
137,-1128.6214909353055,-1144.1508246437866,-1144.1508246437866
138,-1016.4483396700615,-1140.1154307408813,-1140.1154307408813
139,-1061.2635929194798,-1135.1032889015382,-1135.1032889015382
140,-1080.4667149570157,-1131.4273053502545,-1131.4273053502545
141,-598.0133862309132,-1122.6446170553122,-1122.6446170553122
142,-1143.4362348135414,-1118.9353452935466,-1118.9353452935466
143,-377.1221420586855,-1108.8235372792517,-1108.8235372792517
144,-122.65479119143892,-1096.089193897251,-1096.089193897251
145,-1207.0645646453618,-1094.6681112603612,-1094.6681112603612
146,-1187.6434773675423,-1090.7827240383217,-1090.7827240383217
147,-1144.9881993598617,-1088.5642067081678,-1088.5642067081678
148,-1034.692131545496,-1084.2522715770654,-1084.2522715770654
149,-1060.669471077472,-1081.359628459757,-1081.359628459757
150,-1183.8381624419,-1080.1799568142133,-1080.1799568142133
151,-1173.3348680858578,-1078.2597687914167,-1078.2597687914167
152,-1007.4120342451969,-1073.9402991500078,-1073.9402991500078
153,-1051.5432411215277,-1073.1810249278312,-1073.1810249278312
154,-635.8703988584443,-1066.1107071084195,-1066.1107071084195
155,-742.2076698456352,-1059.2553621077104,-1059.2553621077104
156,-378.747251239837,-1050.8357701073533,-1050.8357701073533
157,-1184.151080373989,-1048.895699677974,-1048.895699677974
158,-1025.41497931811,-1047.0834586228943,-1047.0834586228943
159,-128.56880487142533,-1034.5823770036868,-1034.5823770036868
160,-1156.9165477385616,-1033.674608305288,-1033.674608305288
161,-489.9368558731168,-1024.3201190216664,-1024.3201190216664
162,-1234.4146124024264,-1025.0374423306703,-1024.3201190216664
163,-1019.124169058909,-1022.4217239450201,-1022.4217239450201
164,-1074.057118948491,-1019.9832180529618,-1019.9832180529618
165,-1168.1657217911938,-1021.1205687200829,-1019.9832180529618
166,-1155.2308380201168,-1021.0767085304459,-1019.9832180529618
167,-124.81890803561848,-1013.2275887698946,-1013.2275887698946
168,-1126.5003056356093,-1012.9901676402775,-1012.9901676402775
169,-1049.9257026918494,-1011.5433108362406,-1011.5433108362406
170,-244.80283160639743,-1002.5495953736082,-1002.5495953736082
171,-1040.9346602057442,-999.8784398298537,-999.8784398298537
172,-670.8457409343538,-993.2663503985054,-993.2663503985054
173,-369.2079197829745,-985.5934464623914,-985.5934464623914
174,-125.74935715964797,-975.4381758428132,-975.4381758428132
175,-1040.8999782087865,-973.5385181779983,-973.5385181779983
176,-1069.4589846149356,-970.5021855809257,-970.5021855809257
177,-1117.8981800544466,-971.3084555771613,-970.5021855809257
178,-1155.3946290441877,-965.6166105576502,-965.6166105576502
179,-1157.762556883303,-965.8775228798215,-965.6166105576502
180,-491.50654305403907,-960.758575147214,-960.758575147214
181,-238.5804497058061,-953.2343226611613,-953.2343226611613
182,-1055.1179394762364,-952.4731318453502,-952.4731318453502
183,-1148.8340728465569,-952.9365436127949,-952.4731318453502
184,-1048.8000706896257,-952.2559086107186,-952.2559086107186
185,-1197.9772329474238,-955.2833627545791,-952.2559086107186
186,-1189.2152903668584,-957.4233376780181,-952.2559086107186
187,-1135.1108314172395,-956.1283165039108,-952.2559086107186
188,-242.72859985108062,-948.3284273207211,-948.3284273207211
189,-0.5950640526694992,-937.9236745764373,-937.9236745764373
190,-1033.9085972534333,-937.0091717730386,-937.0091717730386
191,-375.14981765188816,-930.7309778772187,-930.7309778772187
192,-0.4188700025354237,-913.4480902409197,-913.4480902409197
193,-1165.6728636510968,-912.3386025065371,-912.3386025065371
194,-1.4946863483870765,-901.0778402810657,-901.0778402810657
195,-1028.8343614198059,-902.5694247060529,-901.0778402810657
196,-0.22873030261180585,-892.5640301759599,-892.5640301759599
197,-1007.1179031667665,-891.0197847581787,-891.0197847581787
198,-525.7346124885354,-885.3460085958841,-885.3460085958841
199,-0.8931927464722443,-877.761492816416,-877.761492816416
200,-240.21865216688494,-871.3512008861694,-871.3512008861694
201,-123.61399235204966,-863.1822827583788,-863.1822827583788
202,-1069.4627793942616,-864.9991102465459,-863.1822827583788
203,-0.7012254658172892,-852.5983310401815,-852.5983310401815
204,-523.1836003910923,-847.6400336145383,-847.6400336145383
205,-122.87953840749707,-837.3871056184913,-837.3871056184913
206,-921.4320242239216,-836.2660360882281,-836.2660360882281
207,-1182.3159773153009,-838.2358138944998,-836.2660360882281
208,-1083.3433169931864,-839.9187826526728,-836.2660360882281
209,-122.90548493665186,-832.3618716030373,-832.3618716030373
210,-0.9299105950985618,-823.0883390204945,-823.0883390204945
211,-249.15867631224538,-815.3657883221831,-815.3657883221831
212,-512.0049125419223,-810.126104633363,-810.126104633363
213,-909.248718174142,-808.181923393005,-808.181923393005
214,-362.1383561414179,-799.5505419816801,-799.5505419816801
215,-124.79928880298147,-790.7749924238276,-790.7749924238276
216,-674.3761050560571,-787.8376988471797,-787.8376988471797
217,-492.5801290428131,-782.6543117527614,-782.6543117527614
218,-674.9007408965009,-779.3944181798139,-779.3944181798139
219,-504.2594852378819,-775.5840682775769,-775.5840682775769
220,-247.16325160331976,-772.9501124690385,-772.9501124690385
221,-123.37676906198439,-763.7652436147479,-763.7652436147479
222,-769.6419546271903,-760.3093943445622,-760.3093943445622
223,-543.0239143975431,-759.3321072790802,-759.3321072790802
224,-252.21083690351347,-751.8732876290813,-751.8732876290813
225,-503.762499850721,-748.1003693545529,-748.1003693545529
226,-243.32842320964787,-738.6590565071148,-738.6590565071148
227,-363.72275296709455,-730.2505576442785,-730.2505576442785
228,-122.92553930775368,-722.4691568094161,-722.4691568094161
229,-120.65871470656349,-712.8737649673743,-712.8737649673743
230,-250.891141315648,-706.5344684362404,-706.5344684362404
231,-1.32472994445444,-697.4773903889883,-697.4773903889883
232,-121.88929333447733,-686.8991355149344,-686.8991355149344
233,-125.35956408876856,-678.1571094642023,-678.1571094642023
234,-241.6671474471395,-669.6118150885441,-669.6118150885441
235,-751.398607059595,-667.0504711708791,-667.0504711708791
236,-245.9649248994541,-660.7690135447643,-660.7690135447643
237,-247.61756677406848,-651.9589743031519,-651.9589743031519
238,-124.43352392638333,-643.0388261457151,-643.0388261457151
239,-372.4429541948904,-636.1506197584692,-636.1506197584692
240,-659.2969923450959,-631.93892253235,-631.93892253235
241,-123.64469594984419,-627.1952356295394,-627.1952356295394
242,-522.3621598012546,-620.9844948794165,-620.9844948794165
243,-498.0797345498996,-622.1940708043286,-620.9844948794165
244,-499.2942587015131,-625.9604654794294,-620.9844948794165
245,-125.0588399443864,-615.1404082324196,-615.1404082324196
246,-483.75525685582096,-608.1015260273025,-608.1015260273025
247,-490.59899727578744,-601.5576340064617,-601.5576340064617
248,-633.3092410572636,-597.5438051015794,-597.5438051015794
249,-247.10785888862458,-589.4081889796909,-589.4081889796909
250,-735.3854106808565,-584.9236614620805,-584.9236614620805
251,-124.67151906961892,-574.437027971918,-574.437027971918
252,-619.0424905074674,-570.5533325345408,-570.5533325345408
253,-1.2274420660209242,-560.0501745439857,-560.0501745439857
254,-247.13531040289723,-556.1628236594302,-556.1628236594302
255,-126.27882224338661,-550.0035351834077,-550.0035351834077
256,-124.7201573215262,-547.4632642442247,-547.4632642442247
257,-124.86516809728828,-536.8704051214577,-536.8704051214577
258,-124.10604753252082,-527.8573158036018,-527.8573158036018
259,-1.0107242710934143,-526.5817349975985,-526.5817349975985
260,-245.3283070205595,-517.4658525904183,-517.4658525904183
261,-507.51284755999114,-517.6416125072872,-517.4658525904183
262,-1.3335794736267492,-505.31080217799916,-505.31080217799916
263,-364.328190735523,-498.76284239476524,-498.76284239476524
264,-125.31467310763794,-489.27541793635675,-489.27541793635675
265,-125.39733716009839,-478.8477340900458,-478.8477340900458
266,-247.72704032440802,-469.77269611308867,-469.77269611308867
267,-124.75697259100808,-469.7720767586426,-469.7720767586426
268,-764.9153350218056,-466.15622705250456,-466.15622705250456
269,-126.24518379771484,-456.9194218635632,-456.9194218635632
270,-126.25102643952316,-455.73390381189444,-455.73390381189444
271,-125.0103689158343,-446.5746608989954,-446.5746608989954
272,-645.4828792752427,-446.32103228240425,-446.32103228240425
273,-675.9315857818298,-449.38826894239287,-446.32103228240425
274,-1.6360151045150537,-448.1471355218415,-446.32103228240425
275,-0.5855478618946865,-437.7439912183726,-437.7439912183726
276,-247.75424479926534,-429.5269438202159,-429.5269438202159
277,-124.26340360072011,-419.5905960556787,-419.5905960556787
