episode,score,average_score,best_score
1,-55.07908368744526,-55.07908368744526,-55.07908368744526
2,-49.087822154341694,-52.08345292089348,-52.08345292089348
3,-53.531053255141245,-52.565986365642736,-52.08345292089348
4,-63.89692402477129,-55.398720780424874,-52.08345292089348
5,-53.172375908341415,-54.95345180600818,-52.08345292089348
6,-53.65677949940553,-54.73733975490774,-52.08345292089348
7,-60.0902274848119,-55.502038002036905,-52.08345292089348
8,-56.9270648507641,-55.680166358127806,-52.08345292089348
9,-50.763951190716405,-55.13392022841543,-52.08345292089348
10,-57.029191288852495,-55.32344733445914,-52.08345292089348
11,-149.02484163039702,-63.841755906817134,-52.08345292089348
12,-110.00645488862544,-67.68881415530116,-52.08345292089348
13,-97.93430202491344,-70.01539014527133,-52.08345292089348
14,-88.12882441123271,-71.30920687855429,-52.08345292089348
15,-80.2001682190899,-71.90193763459,-52.08345292089348
16,-89.86694513144447,-73.02475060314339,-52.08345292089348
17,-59.8504754283843,-72.24979323992227,-52.08345292089348
18,-75.4620621719641,-72.4282526250357,-52.08345292089348
19,-58.07976440238222,-71.67306903436972,-52.08345292089348
20,-58.143398291776776,-70.99658549724008,-52.08345292089348
21,-65.58051730959023,-70.73867748830438,-52.08345292089348
22,-75.85258902088847,-70.97112801251274,-52.08345292089348
23,-76.24727304479072,-71.20052562261178,-52.08345292089348
24,-84.30523266116536,-71.74655508255152,-52.08345292089348
25,-65.60003749496758,-71.50069437904817,-52.08345292089348
26,-45.32185935128879,-70.49381610874973,-52.08345292089348
27,-71.17308091599429,-70.5189740645736,-52.08345292089348
28,-55.28214755029111,-69.97480168906351,-52.08345292089348
29,-96.59143787516064,-70.89261672996341,-52.08345292089348
30,-75.14643629708134,-71.03441071553401,-52.08345292089348
31,-73.58581856924911,-71.11671419468611,-52.08345292089348
32,-53.43303561310494,-70.5640992390117,-52.08345292089348
33,-55.04385877908956,-70.09378892204435,-52.08345292089348
34,-62.754328837189746,-69.8779224489604,-52.08345292089348
35,-64.79135372302402,-69.73259191393365,-52.08345292089348
36,-73.86706531122684,-69.84743839719178,-52.08345292089348
37,-59.323246193788506,-69.56300077007278,-52.08345292089348
