episode,score,average_score,best_score
1,-9.18396603532026,-9.18396603532026,-9.18396603532026
2,-8.882230016745126,-9.033098026032693,-9.033098026032693
3,-18.54564100895204,-12.203945687005808,-9.033098026032693
4,-9.682628731428624,-11.573616448111512,-9.033098026032693
5,-17.55311241345051,-12.76951564117931,-9.033098026032693
6,-8.48531211333058,-12.055481719871189,-9.033098026032693
7,-13.84240729524607,-12.310756802067601,-9.033098026032693
8,-9.276897528936773,-11.931524392926248,-9.033098026032693
9,-15.97971301329263,-12.381323128522512,-9.033098026032693
10,-8.36009786673695,-11.979200602343955,-9.033098026032693
11,-13.33068675440607,-12.102062979804147,-9.033098026032693
12,-15.66512039843006,-12.398984431356306,-9.033098026032693
13,-13.693517604686472,-12.498563906227856,-9.033098026032693
14,-13.328335089525526,-12.557833276463404,-9.033098026032693
15,-7.420157157528413,-12.215321535201072,-9.033098026032693
16,-12.542876194998046,-12.235793701438384,-9.033098026032693
17,-18.581692334349032,-12.609081856315482,-9.033098026032693
18,-16.472315951521857,-12.823705972715835,-9.033098026032693
19,-9.369073194409669,-12.64188319491025,-9.033098026032693
20,-6.451060942687926,-12.332342082299132,-9.033098026032693
21,-102.72302426674524,-16.63666028155847,-9.033098026032693
22,-96.22346406894239,-20.254242271894103,-9.033098026032693
23,-100.16751639048572,-23.728732450963307,-9.033098026032693
24,-69.6758629805267,-25.643196223028443,-9.033098026032693
25,-89.83136154492745,-28.210722835904402,-9.033098026032693
26,-55.637727265550346,-29.265607621660017,-9.033098026032693
27,-54.852577612773906,-30.213273176886453,-9.033098026032693
28,-33.32462636275871,-30.324392933524752,-9.033098026032693
29,-74.21861959499651,-31.837986956334124,-9.033098026032693
30,-98.58317607378882,-34.062826593582614,-9.033098026032693
31,-96.28758414648287,-36.07007683722456,-9.033098026032693
32,-74.5806863016014,-37.27353338298634,-9.033098026032693
33,-17.818591406429615,-36.68398968672704,-9.033098026032693
34,-5.8139443258455055,-35.776047176112876,-9.033098026032693
35,-19.31641595384874,-35.3057719983339,-9.033098026032693
36,-16.473958641924813,-34.78266607176698,-9.033098026032693
37,-13.318342339412496,-34.20254921413578,-9.033098026032693
38,-12.197103355618767,-33.62345853364849,-9.033098026032693
39,-6.651814687666862,-32.93187792221307,-9.033098026032693
40,-3.365346539257732,-32.192714637639185,-9.033098026032693
41,-10.55184105864516,-31.664888452785668,-9.033098026032693
42,-16.78959497611471,-31.31071479857922,-9.033098026032693
43,-14.764894396484092,-30.925928277600264,-9.033098026032693
44,-10.401613964809004,-30.45946658867319,-9.033098026032693
45,-13.74422142152541,-30.088016696069907,-9.033098026032693
46,-15.272455482074644,-29.76593927837436,-9.033098026032693
47,-14.98593712041448,-29.45147114735394,-9.033098026032693
48,-10.535943886234776,-29.05739766274728,-9.033098026032693
49,-16.030735406141456,-28.79154741261247,-9.033098026032693
50,-14.685495448121596,-28.509426373322654,-9.033098026032693
51,-18.825063200889907,-28.319536899353384,-9.033098026032693
52,-10.765893909708355,-27.98196684186021,-9.033098026032693
53,-11.940474802798331,-27.679297180745834,-9.033098026032693
54,-9.863764734692316,-27.349379913226326,-9.033098026032693
55,-7.251917991923055,-26.983971514657174,-9.033098026032693
56,-9.682914512564814,-26.675024068191238,-9.033098026032693
57,-15.630368161061405,-26.481258175083696,-9.033098026032693
58,-4.5395048635481245,-26.102952083505492,-9.033098026032693
